Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF 60V","0805",139.434475,-102.849340,180.000000,top
"C2","1uF 60V","0805",139.434475,-93.006840,180.000000,top
"C3","1uF 60V","0805",139.434475,-112.691840,180.000000,top
"C4","0.1uF","0603-CAP",158.008225,-99.039340,90.000000,top
"C5","0.1uF","0603-CAP",155.626975,-99.039340,90.000000,top
"C6","1uF","0603-CAP",169.482675,-113.479240,-90.000000,top
"C7","0.1uF","0603-CAP",168.533225,-97.276840,180.000000,top
"C9","1uF","EIA3216",158.643225,-95.864340,0.000000,top
"C10","0.1uF","0603-CAP",144.673225,-117.454340,-90.000000,top
"C11","100uF","EIA7343",132.449475,-113.961840,0.000000,top
"C15","100uF","EIA7343",131.973225,-107.611840,0.000000,top
"C16","100uF","EIA7343",132.449475,-94.911840,0.000000,top
"C17","100uF","EIA7343",132.608225,-101.261840,0.000000,top
"LED1","BLUE","SMT-LED-3X2-RA",153.607675,-118.082990,150.300000,top
"LED2","RED","SMT-LED-3X2-RA",168.530175,-118.082990,-149.800000,top
"LOGO1","OSHW-LOGOS","OSHW-LOGO-S",161.818225,-98.721840,0.000000,top
"Q1","BC817-40W","SOT23",140.863225,-117.454340,90.000000,top
"Q2","BC817-40W","SOT23",141.339475,-107.611840,90.000000,top
"Q3","BC817-40W","SOT23",141.339475,-97.769340,90.000000,top
"R1","47K","0603-RES",155.468225,-108.564340,-90.000000,top
"R2","47K","0603-RES",155.944475,-105.865590,180.000000,top
"R3","47K","0603-RES",155.468225,-103.166840,90.000000,top
"R4","47K","0603-RES",152.769475,-109.040590,180.000000,top
"R5","47K","0603-RES",152.769475,-105.865590,180.000000,top
"R6","47K","0603-RES",152.769475,-102.690590,180.000000,top
"R7","4.7K","0603-RES",152.783225,-111.218090,0.000000,top
"R8","4.7K","0603-RES",152.769475,-113.326840,0.000000,top
"R9","4.7K","0603-RES",152.769475,-115.390590,0.000000,top
"R10","18K 1%","0603-RES",152.769475,-94.118090,0.000000,top
"R11","3.3K 1%","0603-RES",152.769475,-96.816840,180.000000,top
"R12","10K","0603-RES",152.769475,-99.515590,180.000000,top
"R13","10K","0603-RES",162.180175,-116.654240,180.000000,top
"R14","10K","0603-RES",162.180175,-118.876740,180.000000,top
"R15","1K","0603-RES",158.211425,-118.876740,0.000000,top
"R16","4.7K","0603-RES",165.040725,-117.501840,90.000000,top
"R17","2.2K","0603-RES",143.244475,-112.691840,180.000000,top
"R18","4.7K","0603-RES",143.244475,-114.596840,180.000000,top
"R19","100","0603-RES",139.434475,-114.596840,180.000000,top
"R21","100","0603-RES",143.244475,-110.786840,180.000000,top
"R22","10K","0603-RES",139.434475,-110.469340,180.000000,top
"R23","2.2K","0603-RES",143.244475,-102.849340,180.000000,top
"R24","4.7K","0603-RES",143.244475,-104.754340,180.000000,top
"R25","100","0603-RES",139.434475,-104.754340,180.000000,top
"R26","100","0603-RES",143.244475,-100.944340,180.000000,top
"R27","10K","0603-RES",139.434475,-100.944340,0.000000,top
"R28","2.2K","0603-RES",143.244475,-93.006840,180.000000,top
"R29","4.7K","0603-RES",143.244475,-94.911840,180.000000,top
"R30","100","0603-RES",139.434475,-94.911840,180.000000,top
"R31","100","0603-RES",143.244475,-91.101840,180.000000,top
"R32","10K","0603-RES",139.434475,-91.101840,0.000000,top
"R34","47K","0603-RES",169.323925,-110.462990,180.000000,top
"R35","470K","0603-RES",158.211425,-116.654240,0.000000,top
"U$1","PADPTH-MED","PAD-PTH-MED-1",138.323225,-120.470590,0.000000,top
"U$2","PADPTH-MED","PAD-PTH-MED-1",134.195725,-120.470590,0.000000,top
"U$4","HEADER-62MM","HEADER-2MM-6POS",124.829475,-110.151840,90.000000,top
"U$8","HEADER-122MM","HEADER-2MM-12POS",147.054475,-115.866840,90.000000,top
"U$9","LOGOBR-LOGO-S","BR-LOGO-SMALL",133.859175,-91.044690,0.000000,top
"U$10","LOGOBR-LOGO-M","BR-LOGO-MEDIUM",150.705725,-105.230590,0.000000,top
"U$11","PAD1.5X3MM","PAD-1.5X3MM",159.278225,-113.644340,90.000000,top
"U$12","PAD1.5X3MM","PAD-1.5X3MM",164.358225,-113.644340,90.000000,top
"U$13","PAD1.5X3MM","PAD-1.5X3MM",166.898225,-113.644340,90.000000,top
"U$14","PAD1.5X3MM","PAD-1.5X3MM",161.818225,-113.644340,90.000000,top
"U$16","HEADER-62MM","HEADER-2MM-6POS",149.911975,-110.469340,90.000000,top
"U$17","HEADER-122MM","HEADER-2MM-12POS",172.136975,-116.184340,90.000000,top
"U1","ATMEGA168","TQFP32-08",163.684700,-105.230597,180.000000,top
"U2","V_REG_LDOSMD","SOT23-5",164.040725,-95.070590,90.000000,top
"Y1","RESONATORSMD","RESONATOR-SMD",168.961975,-99.674340,180.000000,top
